Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
01-01-16,2016,1,1,,0.7,,-2.9,,-1.1,,19.1,,0,,,M,,M,0.8,,,,,M,,M
02-01-16,2016,1,2,,1.5,,-2.9,,-0.7,,18.7,,0,,,M,,M,0.2,,0,T,,M,,M
03-01-16,2016,1,3,,2.3,,-10.1,,-3.9,,21.9,,0,,,M,,M,0.2,,0,T,,M,,M
04-01-16,2016,1,4,,-9.9,,-14.2,,-12.1,,30.1,,0,,,M,,M,0.6,,,,,M,,M
05-01-16,2016,1,5,,,M,-13.1,E,,M,,M,,M,,M,,M,,M,,,,M,,M
06-01-16,2016,1,6,,2.4,,-4.5,,-1.1,,19.1,,0,,,M,,M,0.3,,,,,M,,M
07-01-16,2016,1,7,,3.7,,-2.4,,0.7,,17.3,,0,,,M,,M,1.2,,,,,M,,M
08-01-16,2016,1,8,,,M,-0.1,E,,M,,M,,M,,M,,M,,M,,,,M,,M
09-01-16,2016,1,9,,8.1,,3.4,,5.8,,12.2,,0,,,M,,M,2.6,,,,,M,,M
10-01-16,2016,1,10,,7.8,,-5.5,,1.2,,16.8,,0,,,M,,M,27.1,,,,,M,,M
11-01-16,2016,1,11,,-5.3,,-8.8,,-7.1,,25.1,,0,,,M,,M,0.2,,,,,M,,M
12-01-16,2016,1,12,,-0.8,,-8.2,,-4.5,,22.5,,0,,,M,,M,3.2,,3,,,M,,M
13-01-16,2016,1,13,,-6.1,,-8.9,,-7.5,,25.5,,0,,,M,,M,0.5,,4,,,M,,M
14-01-16,2016,1,14,,-0.9,,-7.4,,-4.2,,22.2,,0,,,M,,M,0.2,,3,,,M,,M
15-01-16,2016,1,15,,5.7,,-2.1,,1.8,,16.2,,0,,,M,,M,1.3,,3,,,M,,M
16-01-16,2016,1,16,,3.9,,-2.7,,0.6,,17.4,,0,,,M,,M,1.2,,,,,M,,M
17-01-16,2016,1,17,,0.3,,-9.1,,-4.4,,22.4,,0,,,M,,M,0,,,,,M,,M
18-01-16,2016,1,18,,-6.6,,-10.1,,-8.4,,26.4,,0,,,M,,M,0.7,,,,,M,,M
19-01-16,2016,1,19,,-2.6,,-13.3,,-8,,26,,0,,,M,,M,1.1,,0,T,,M,,M
20-01-16,2016,1,20,,-2.7,,-6.3,,-4.5,,22.5,,0,,,M,,M,0,,,,,M,,M
21-01-16,2016,1,21,,-2.1,,-6.5,,-4.3,,22.3,,0,,,M,,M,,M,,,,M,,M
22-01-16,2016,1,22,,-1.8,,-6.8,,-4.3,,22.3,,0,,,M,,M,0.9,,,,,M,,M
23-01-16,2016,1,23,,-2.5,,-9.7,,-6.1,,24.1,,0,,,M,,M,0.5,,,,,M,,M
24-01-16,2016,1,24,,0.2,,-8,,-3.9,,21.9,,0,,,M,,M,0,,0,T,,M,,M
25-01-16,2016,1,25,,5.1,,-0.1,,2.5,,15.5,,0,,,M,,M,,M,,,,M,,M
26-01-16,2016,1,26,,7,,1.6,,4.3,,13.7,,0,,,M,,M,,M,0,T,,M,,M
27-01-16,2016,1,27,,1.7,,-2,,-0.2,,18.2,,0,,,M,,M,1,,,,,M,,M
28-01-16,2016,1,28,,2.3,,-0.8,,0.8,,17.2,,0,,,M,,M,1,,,,,M,,M
29-01-16,2016,1,29,,1.3,,-7.6,,-3.2,,21.2,,0,,,M,,M,0,,0,T,,M,,M
30-01-16,2016,1,30,,6.4,,-6.8,,-0.2,,18.2,,0,,,M,,M,,M,0,T,,M,,M
31-01-16,2016,1,31,,9.9,,2.9,,6.4,,11.6,,0,,,M,,M,,M,,,,M,,M
01-02-16,2016,2,1,,9.9,,1.8,,5.9,,12.1,,0,,,M,,M,,M,,,,M,,M
02-02-16,2016,2,2,,2.7,,0.8,,1.8,,16.2,,0,,,M,,M,3.5,,,,,M,,M
03-02-16,2016,2,3,,15.6,,2.3,,9,,9,,0,,,M,,M,,M,,,,M,,M
04-02-16,2016,2,4,,4.5,,-0.3,,2.1,,15.9,,0,,,M,,M,,M,,,,M,,M
